episode,total_reward,steps,avg_loss,epsilon,solved
1,-144.00,1024,0.0642,0.9970,0
2,-129.00,1024,0.0354,0.9940,0
3,-124.00,1024,0.0389,0.9910,0
4,64.00,122,0.2892,0.9881,1
5,-106.50,1024,0.3934,0.9851,0
6,-148.00,1024,0.3590,0.9821,0
7,-114.50,1024,0.4407,0.9792,0
8,-115.00,1024,0.6685,0.9763,0
9,-111.50,1024,1.1069,0.9733,0
10,-3.50,651,0.9157,0.9704,1
11,-101.00,1024,1.1004,0.9675,0
12,-114.00,1024,1.4835,0.9646,0
13,-46.50,865,1.1323,0.9617,1
14,-27.00,806,1.2963,0.9588,1
15,5.50,587,1.2684,0.9559,1
16,-14.00,618,1.1940,0.9531,1
17,-123.00,1024,0.9624,0.9502,0
18,-113.00,1024,1.1124,0.9474,0
19,-110.00,1024,1.0831,0.9445,0
20,-32.00,778,1.0962,0.9417,1
21,-8.50,719,1.2243,0.9389,1
22,-126.50,1024,1.0477,0.9360,0
23,18.00,534,1.2202,0.9332,1
24,-128.50,1024,0.9829,0.9304,0
25,4.00,604,1.1476,0.9276,1
26,-0.50,537,0.9127,0.9249,1
27,67.00,146,1.2752,0.9221,1
28,22.50,537,0.9888,0.9193,1
29,-96.00,1024,1.0870,0.9166,0
30,-31.00,836,1.2269,0.9138,1
31,61.00,162,0.6660,0.9111,1
32,26.00,450,0.8518,0.9083,1
33,16.00,410,1.3706,0.9056,1
34,9.50,483,1.0772,0.9029,1
35,34.00,292,1.3794,0.9002,1
36,30.00,440,0.8464,0.8975,1
37,44.00,320,1.0763,0.8948,1
38,46.50,261,0.7727,0.8921,1
39,42.50,389,0.6160,0.8894,1
40,63.00,122,1.8107,0.8868,1
41,27.50,379,0.6762,0.8841,1
42,49.00,250,0.7043,0.8814,1
43,-0.50,665,0.7429,0.8788,1
44,27.50,363,0.9041,0.8762,1
45,48.50,247,0.6220,0.8735,1
46,16.00,472,0.7856,0.8709,1
47,29.00,368,1.0460,0.8683,1
48,45.50,263,0.7699,0.8657,1
49,55.50,241,0.4280,0.8631,1
50,-2.50,761,0.6366,0.8605,1
51,60.50,185,0.3104,0.8579,1
52,39.50,421,0.4224,0.8554,1
53,39.00,350,0.4807,0.8528,1
54,48.50,291,0.4723,0.8502,1
55,49.50,301,0.1749,0.8477,1
56,66.00,164,0.6391,0.8451,1
57,64.50,155,0.1769,0.8426,1
58,42.50,315,0.4429,0.8401,1
59,66.50,143,0.7993,0.8376,1
60,47.00,256,0.5084,0.8350,1
61,53.50,221,0.7065,0.8325,1
62,62.00,160,0.5066,0.8300,1
63,50.00,266,0.5774,0.8276,1
64,24.00,496,0.2909,0.8251,1
65,60.00,134,0.1867,0.8226,1
66,51.00,238,0.2766,0.8201,1
67,55.00,292,0.1992,0.8177,1
68,67.00,150,0.3645,0.8152,1
69,65.50,137,0.2797,0.8128,1
70,70.00,152,0.5956,0.8103,1
71,48.50,361,0.3480,0.8079,1
72,65.50,123,0.0366,0.8055,1
73,42.00,310,0.2697,0.8031,1
74,53.00,222,0.7252,0.8006,1
75,63.00,146,0.1351,0.7982,1
76,56.50,175,0.3860,0.7959,1
77,64.50,187,0.3575,0.7935,1
78,56.00,178,0.1640,0.7911,1
79,59.00,190,0.1815,0.7887,1
80,70.00,116,0.2854,0.7863,1
81,73.50,113,0.5946,0.7840,1
82,58.00,242,0.1513,0.7816,1
83,63.00,142,0.2307,0.7793,1
84,65.50,121,0.0312,0.7770,1
85,64.00,168,0.2875,0.7746,1
86,64.50,113,0.1470,0.7723,1
87,69.50,107,0.3374,0.7700,1
88,69.00,132,0.1336,0.7677,1
89,54.50,207,0.0875,0.7654,1
90,69.50,87,0.1838,0.7631,1
91,66.50,145,0.2707,0.7608,1
92,68.50,135,0.0363,0.7585,1
93,64.50,109,0.2156,0.7562,1
94,65.50,159,0.2528,0.7540,1
95,65.50,147,0.1368,0.7517,1
96,68.50,121,0.0347,0.7494,1
97,70.00,112,0.0317,0.7472,1
98,72.00,74,0.0269,0.7449,1
99,72.00,90,0.3795,0.7427,1
100,66.00,128,0.0368,0.7405,1
101,64.00,106,0.0201,0.7383,1
102,62.50,145,0.0123,0.7360,1
103,65.50,109,0.0160,0.7338,1
104,57.00,188,0.0125,0.7316,1
105,58.00,192,0.0102,0.7294,1
106,56.00,180,0.2103,0.7273,1
107,65.00,116,0.2666,0.7251,1
108,63.50,137,0.0811,0.7229,1
109,71.50,85,0.3981,0.7207,1
110,71.50,95,0.0705,0.7186,1
111,70.00,138,0.2708,0.7164,1
112,69.50,117,0.3062,0.7143,1
113,55.00,210,0.0436,0.7121,1
114,70.50,97,0.0447,0.7100,1
115,65.00,136,0.0252,0.7079,1
116,67.50,139,0.0350,0.7057,1
117,69.50,81,0.0273,0.7036,1
118,69.00,104,0.0282,0.7015,1
119,74.00,84,0.0158,0.6994,1
120,62.50,221,0.0219,0.6973,1
121,77.50,57,0.0235,0.6952,1
122,72.00,82,0.0137,0.6931,1
123,69.50,83,0.0224,0.6910,1
124,66.50,173,0.0158,0.6890,1
125,72.00,64,0.0190,0.6869,1
126,74.00,70,0.0089,0.6848,1
127,71.50,87,0.0157,0.6828,1
128,67.50,107,0.0130,0.6807,1
129,67.00,142,0.0150,0.6787,1
130,70.00,78,0.0088,0.6767,1
131,66.50,143,0.0143,0.6746,1
132,66.50,99,0.0112,0.6726,1
133,69.00,84,0.0188,0.6706,1
134,69.00,106,0.0102,0.6686,1
135,68.50,99,0.0155,0.6666,1
136,71.50,79,0.0091,0.6646,1
137,71.00,88,0.0144,0.6626,1
138,71.50,107,0.0073,0.6606,1
139,72.50,89,0.0139,0.6586,1
140,71.00,90,0.0161,0.6566,1
141,73.50,61,0.0114,0.6547,1
142,71.00,114,0.0144,0.6527,1
143,73.00,84,0.0093,0.6507,1
144,71.00,82,0.0156,0.6488,1
145,68.00,98,0.0070,0.6468,1
146,70.50,73,0.0181,0.6449,1
147,69.00,100,0.0115,0.6430,1
148,72.00,84,0.0156,0.6410,1
149,74.00,82,0.0136,0.6391,1
150,67.50,123,0.0117,0.6372,1
151,68.50,95,0.0098,0.6353,1
152,70.00,76,0.0108,0.6334,1
153,61.00,152,0.0103,0.6315,1
154,71.00,82,0.0169,0.6296,1
155,75.50,75,0.0108,0.6277,1
156,72.50,73,0.0070,0.6258,1
157,67.00,110,0.0149,0.6239,1
158,74.00,74,0.0084,0.6221,1
159,74.00,58,0.0191,0.6202,1
160,73.00,80,0.0143,0.6183,1
161,74.50,67,0.0068,0.6165,1
162,77.50,49,0.0156,0.6146,1
163,71.50,65,0.0128,0.6128,1
164,77.50,45,0.0070,0.6110,1
165,69.50,97,0.0119,0.6091,1
166,75.50,51,0.0101,0.6073,1
167,69.50,81,0.0082,0.6055,1
168,68.00,92,0.0212,0.6037,1
169,71.00,94,0.0102,0.6018,1
170,77.50,61,0.0159,0.6000,1
171,76.50,53,0.0187,0.5982,1
172,75.50,51,0.0134,0.5964,1
173,74.50,93,0.0146,0.5947,1
174,69.50,137,0.0136,0.5929,1
175,72.50,95,0.0162,0.5911,1
176,76.00,74,0.0125,0.5893,1
177,75.00,64,0.0073,0.5875,1
178,73.00,86,0.0144,0.5858,1
179,73.00,78,0.0062,0.5840,1
180,69.50,91,0.0158,0.5823,1
181,71.50,69,0.0100,0.5805,1
182,75.00,66,0.0067,0.5788,1
183,73.00,74,0.0139,0.5771,1
184,74.50,65,0.0099,0.5753,1
185,75.00,66,0.0059,0.5736,1
186,72.00,84,0.0122,0.5719,1
187,76.00,56,0.0074,0.5702,1
188,70.00,88,0.0079,0.5684,1
189,76.00,54,0.0128,0.5667,1
190,73.00,78,0.0107,0.5650,1
191,73.50,71,0.0112,0.5633,1
192,68.00,86,0.0145,0.5617,1
193,68.50,91,0.0060,0.5600,1
194,74.50,69,0.0159,0.5583,1
195,72.00,72,0.0075,0.5566,1
196,74.50,61,0.0061,0.5549,1
197,72.50,77,0.0155,0.5533,1
198,72.50,77,0.0100,0.5516,1
199,74.50,67,0.0113,0.5500,1
200,73.50,77,0.0126,0.5483,1
201,74.00,58,0.0072,0.5467,1
202,77.00,60,0.0106,0.5450,1
203,73.50,71,0.0122,0.5434,1
204,75.50,65,0.0076,0.5418,1
205,67.00,96,0.0135,0.5401,1
206,72.00,78,0.0086,0.5385,1
207,74.00,74,0.0050,0.5369,1
208,69.50,79,0.0134,0.5353,1
209,73.50,77,0.0099,0.5337,1
210,75.00,50,0.0072,0.5321,1
211,71.00,82,0.0168,0.5305,1
212,72.50,59,0.0076,0.5289,1
213,73.00,78,0.0128,0.5273,1
214,73.50,67,0.0162,0.5257,1
215,75.50,59,0.0083,0.5242,1
216,76.50,63,0.0098,0.5226,1
217,74.50,49,0.0144,0.5210,1
218,75.50,55,0.0109,0.5195,1
219,74.50,63,0.0061,0.5179,1
220,71.50,103,0.0107,0.5163,1
221,70.50,87,0.0051,0.5148,1
222,74.50,67,0.0089,0.5132,1
223,75.00,50,0.0137,0.5117,1
224,76.00,50,0.0087,0.5102,1
225,78.50,49,0.0059,0.5086,1
226,72.50,65,0.0159,0.5071,1
227,74.00,62,0.0089,0.5056,1
228,73.00,78,0.0055,0.5041,1
229,75.00,70,0.0124,0.5026,1
230,74.50,67,0.0076,0.5011,1
231,73.50,63,0.0046,0.4996,1
232,75.50,63,0.0104,0.4981,1
233,76.50,51,0.0067,0.4966,1
234,76.00,48,0.0085,0.4951,1
235,75.50,57,0.0079,0.4936,1
236,72.50,59,0.0116,0.4921,1
237,76.50,63,0.0060,0.4906,1
238,78.50,53,0.0036,0.4892,1
239,73.00,72,0.0108,0.4877,1
240,69.50,75,0.0073,0.4862,1
241,76.50,47,0.0044,0.4848,1
242,74.00,66,0.0148,0.4833,1
243,76.00,58,0.0118,0.4819,1
244,73.50,59,0.0059,0.4804,1
245,75.50,67,0.0067,0.4790,1
246,73.00,60,0.0086,0.4775,1
247,73.50,51,0.0084,0.4761,1
248,73.50,87,0.0099,0.4747,1
249,76.50,55,0.0128,0.4733,1
250,78.00,40,0.0082,0.4718,1
251,76.50,51,0.0068,0.4704,1
252,70.00,74,0.0086,0.4690,1
253,77.50,49,0.0083,0.4676,1
254,73.00,48,0.0073,0.4662,1
255,74.50,63,0.0067,0.4648,1
256,73.50,71,0.0125,0.4634,1
257,74.50,55,0.0094,0.4620,1
258,75.50,73,0.0059,0.4606,1
259,74.50,53,0.0149,0.4592,1
260,71.50,69,0.0103,0.4579,1
261,73.50,51,0.0069,0.4565,1
262,76.50,51,0.0118,0.4551,1
263,77.00,44,0.0119,0.4538,1
264,76.50,49,0.0071,0.4524,1
265,76.50,47,0.0046,0.4510,1
266,76.00,48,0.0088,0.4497,1
267,77.50,45,0.0116,0.4483,1
268,76.00,46,0.0100,0.4470,1
269,75.00,42,0.0061,0.4457,1
270,78.00,42,0.0053,0.4443,1
271,75.50,59,0.0162,0.4430,1
272,75.50,49,0.0066,0.4417,1
273,74.50,69,0.0058,0.4403,1
274,76.00,44,0.0112,0.4390,1
275,76.00,54,0.0183,0.4377,1
276,74.50,49,0.0173,0.4364,1
277,76.00,56,0.0080,0.4351,1
278,77.50,43,0.0116,0.4338,1
279,77.00,46,0.0138,0.4325,1
280,76.50,53,0.0098,0.4312,1
281,78.50,51,0.0064,0.4299,1
282,78.00,38,0.0066,0.4286,1
283,75.00,60,0.0181,0.4273,1
284,74.00,62,0.0072,0.4260,1
285,72.50,63,0.0042,0.4247,1
286,75.50,55,0.0140,0.4235,1
287,76.00,52,0.0093,0.4222,1
288,74.00,64,0.0058,0.4209,1
289,77.50,55,0.0093,0.4197,1
290,75.00,52,0.0119,0.4184,1
291,76.50,51,0.0077,0.4171,1
292,77.50,45,0.0066,0.4159,1
293,74.50,63,0.0107,0.4146,1
294,77.50,43,0.0169,0.4134,1
295,74.50,55,0.0075,0.4122,1
296,74.50,49,0.0043,0.4109,1
297,77.50,35,0.0088,0.4097,1
298,76.00,54,0.0155,0.4085,1
299,76.50,45,0.0085,0.4072,1
300,74.00,54,0.0066,0.4060,1
301,76.50,47,0.0074,0.4048,1
302,77.00,54,0.0151,0.4036,1
303,75.50,51,0.0087,0.4024,1
304,76.00,46,0.0055,0.4012,1
305,78.50,41,0.0068,0.4000,1
306,74.50,63,0.0135,0.3988,1
307,74.50,57,0.0108,0.3976,1
308,76.50,41,0.0075,0.3964,1
309,75.00,50,0.0080,0.3952,1
310,75.00,56,0.0152,0.3940,1
311,76.50,45,0.0133,0.3928,1
312,77.50,49,0.0083,0.3916,1
313,76.50,49,0.0067,0.3905,1
314,77.00,40,0.0127,0.3893,1
315,73.50,77,0.0076,0.3881,1
316,76.50,53,0.0045,0.3870,1
317,74.00,62,0.0110,0.3858,1
318,75.50,59,0.0088,0.3846,1
319,77.00,58,0.0065,0.3835,1
320,76.00,50,0.0060,0.3823,1
321,75.00,52,0.0101,0.3812,1
322,76.50,51,0.0105,0.3801,1
323,78.50,53,0.0053,0.3789,1
324,76.00,64,0.0080,0.3778,1
325,76.50,43,0.0118,0.3766,1
326,76.50,41,0.0087,0.3755,1
327,77.00,48,0.0055,0.3744,1
328,76.00,44,0.0069,0.3733,1
329,77.50,55,0.0161,0.3721,1
330,76.00,48,0.0063,0.3710,1
331,74.50,55,0.0034,0.3699,1
332,77.00,44,0.0052,0.3688,1
333,75.50,61,0.0124,0.3677,1
334,76.50,57,0.0080,0.3666,1
335,75.00,50,0.0055,0.3655,1
336,73.50,67,0.0120,0.3644,1
337,79.00,44,0.0110,0.3633,1
338,78.00,34,0.0097,0.3622,1
339,78.00,32,0.0088,0.3611,1
340,77.50,57,0.0088,0.3600,1
341,77.50,51,0.0095,0.3590,1
342,75.50,47,0.0055,0.3579,1
343,77.00,42,0.0039,0.3568,1
344,78.50,31,0.0039,0.3557,1
345,76.50,43,0.0103,0.3547,1
346,78.00,46,0.0078,0.3536,1
347,76.50,57,0.0042,0.3525,1
348,78.50,55,0.0044,0.3515,1
349,78.00,54,0.0101,0.3504,1
350,75.00,48,0.0073,0.3494,1
351,77.00,46,0.0053,0.3483,1
352,74.50,45,0.0041,0.3473,1
353,78.00,38,0.0080,0.3463,1
354,78.00,36,0.0138,0.3452,1
355,76.00,48,0.0208,0.3442,1
356,77.00,48,0.0096,0.3431,1
357,75.00,56,0.0112,0.3421,1
358,78.50,43,0.0208,0.3411,1
359,76.00,54,0.0133,0.3401,1
360,78.50,41,0.0069,0.3390,1
361,76.00,50,0.0050,0.3380,1
362,77.00,54,0.0127,0.3370,1
