episode,total_reward,steps,avg_loss,epsilon,solved
153,-53.00,831,0.0033,0.6315,1
154,-60.50,1024,0.0029,0.6296,0
155,-57.00,865,0.0027,0.6277,1
156,14.50,122,0.0032,0.6258,1
157,-58.50,1024,0.0032,0.6239,0
158,14.50,96,0.0016,0.6221,1
159,17.50,70,0.0022,0.6202,1
160,18.00,89,0.0019,0.6183,1
161,-47.00,1024,0.0023,0.6165,0
162,1.00,309,0.0045,0.6146,1
163,-45.50,1024,0.0021,0.6128,0
164,16.50,92,0.0040,0.6110,1
165,-62.00,1024,0.0021,0.6091,0
166,17.00,103,0.0021,0.6073,1
167,17.00,121,0.0032,0.6055,1
168,-39.00,1024,0.0035,0.6037,0
169,15.00,127,0.0025,0.6018,1
170,15.00,97,0.0045,0.6000,1
171,17.50,68,0.0029,0.5982,1
172,19.50,90,0.0026,0.5964,1
173,-52.00,1024,0.0032,0.5947,0
174,16.00,67,0.0014,0.5929,1
175,-58.00,1024,0.0031,0.5911,0
176,-55.00,1024,0.0023,0.5893,0
177,-47.00,1024,0.0046,0.5875,0
178,16.50,68,0.0114,0.5858,1
179,18.50,88,0.0056,0.5840,1
180,19.00,73,0.0033,0.5823,1
181,-48.50,1024,0.0047,0.5805,0
182,17.50,72,0.0020,0.5788,1
183,18.00,77,0.0042,0.5771,1
184,-58.50,1024,0.0041,0.5753,0
185,-46.50,1024,0.0051,0.5736,0
186,-40.50,1024,0.0044,0.5719,0
187,-52.00,1024,0.0046,0.5702,0
188,-44.00,1024,0.0058,0.5684,0
189,17.50,66,0.0016,0.5667,1
190,19.00,85,0.0022,0.5650,1
191,16.50,96,0.0071,0.5633,1
192,-54.00,893,0.0051,0.5617,1
193,-53.50,1024,0.0042,0.5600,0
194,-38.50,1024,0.0046,0.5583,0
195,18.00,83,0.0021,0.5566,1
196,-46.00,1024,0.0038,0.5549,0
197,-57.50,1024,0.0046,0.5533,0
198,-51.50,1024,0.0050,0.5516,0
199,16.00,101,0.0054,0.5500,1
200,-42.00,1024,0.0030,0.5483,0
201,20.50,84,0.0019,0.5467,1
202,-31.00,713,0.0042,0.5450,1
203,21.00,59,0.0042,0.5434,1
204,21.50,60,0.0016,0.5418,1
205,-44.00,1024,0.0050,0.5401,0
206,20.00,67,0.0032,0.5385,1
207,17.00,87,0.0018,0.5369,1
208,-12.00,559,0.0026,0.5353,1
